num_voters,num_questions,num_choices,tally_time,decrypt_time
100,3,4,0.049,0.169
100,3,4,0.048,0.168
100,3,4,0.048,0.169
100,3,4,0.049,0.172
100,3,5,0.060,0.218
100,3,5,0.057,0.218
100,3,5,0.059,0.217
100,3,5,0.058,0.216
100,3,5,0.062,0.216
100,3,6,0.069,0.261
100,3,6,0.069,0.264
100,3,6,0.069,0.261
100,3,6,0.069,0.259
100,3,6,0.069,0.253
100,3,7,0.079,0.290
100,3,7,0.078,0.299
100,3,7,0.079,0.306
100,3,7,0.079,0.288
100,3,7,0.078,0.284
100,3,9,0.099,0.378
100,3,9,0.100,0.376
100,3,9,0.099,0.385
100,3,9,0.104,0.392
100,3,9,0.102,0.392
100,3,9,0.100,0.381
100,3,9,0.101,0.367
100,3,9,0.107,0.377
100,3,9,0.100,0.377
100,3,9,0.102,0.386
100,3,10,0.122,0.406
100,3,10,0.114,0.416
100,3,10,0.113,0.427
100,3,10,0.114,0.428
100,3,10,0.115,0.425
100,4,1,0.028,0.069
100,4,1,0.023,0.062
100,4,1,0.023,0.062
100,4,1,0.023,0.062
100,4,1,0.024,0.062
100,4,2,0.035,0.116
100,4,2,0.034,0.118
100,4,2,0.037,0.118
100,4,2,0.035,0.119
100,4,2,0.036,0.118
100,4,3,0.048,0.178
100,4,3,0.048,0.169
100,4,3,0.049,0.172
100,4,3,0.048,0.169
100,4,3,0.048,0.170
100,4,4,0.060,0.223
100,4,4,0.061,0.220
100,4,4,0.059,0.235
100,4,4,0.064,0.225
100,4,4,0.061,0.231
100,4,5,0.074,0.297
100,4,5,0.074,0.279
100,4,5,0.077,0.280
100,4,5,0.081,0.288
100,4,5,0.076,0.288
100,4,6,0.090,0.346
100,4,6,0.091,0.344
100,4,6,0.089,0.350
100,4,6,0.086,0.327
100,4,6,0.089,0.325
100,4,7,0.103,0.394
100,4,7,0.104,0.394
100,4,7,0.100,0.396
100,4,7,0.104,0.399
100,4,7,0.100,0.386
100,4,9,0.131,0.504
100,4,9,0.128,0.483
100,4,9,0.132,0.504
100,4,9,0.130,0.505
100,4,9,0.132,0.529
100,4,9,0.124,0.496
100,4,9,0.135,0.500
100,4,9,0.133,0.515
100,4,9,0.132,0.516
100,4,9,0.129,0.511
100,4,10,0.148,0.568
100,4,10,0.153,0.564
100,4,10,0.148,0.571
100,4,10,0.147,0.555
100,4,10,0.146,0.549
100,5,1,0.026,0.076
100,5,1,0.026,0.077
100,5,1,0.026,0.076
100,5,1,0.026,0.076
100,5,1,0.025,0.076
100,5,2,0.044,0.149
100,5,2,0.046,0.144
100,5,2,0.041,0.149
100,5,2,0.041,0.145
100,5,2,0.042,0.146
100,5,3,0.057,0.214
100,5,3,0.059,0.222
100,5,3,0.058,0.213
100,5,3,0.059,0.217
100,5,3,0.059,0.217
100,5,4,0.076,0.288
100,5,4,0.073,0.277
100,5,4,0.076,0.290
100,5,4,0.077,0.293
100,5,4,0.079,0.289
100,5,5,0.094,0.358
100,5,5,0.092,0.361
100,5,5,0.091,0.359
100,5,5,0.091,0.351
100,5,5,0.091,0.356
100,5,6,0.105,0.419
100,5,6,0.108,0.417
100,5,6,0.106,0.426
100,5,6,0.106,0.412
100,5,6,0.108,0.418
100,5,7,0.126,0.471
100,5,7,0.120,0.482
100,5,7,0.122,0.471
100,5,7,0.122,0.491
100,5,7,0.123,0.504
100,5,9,0.157,0.614
100,5,9,0.159,0.645
100,5,9,0.163,0.637
100,5,9,0.157,0.629
100,5,9,0.159,0.622
100,5,9,0.162,0.617
100,5,9,0.156,0.607
100,5,9,0.158,0.637
100,5,9,0.157,0.621
100,5,9,0.158,0.601
100,5,10,0.181,0.690
100,5,10,0.207,0.748
100,5,10,0.190,0.724
100,5,10,0.185,0.723
100,5,10,0.185,0.722
100,6,1,0.030,0.093
100,6,1,0.032,0.093
100,6,1,0.030,0.092
100,6,1,0.030,0.094
100,6,1,0.029,0.094
100,6,2,0.050,0.178
100,6,2,0.050,0.178
100,6,2,0.051,0.182
100,6,2,0.052,0.176
100,6,2,0.051,0.175
100,6,3,0.070,0.262
100,6,3,0.071,0.262
100,6,3,0.071,0.262
100,6,3,0.071,0.267
100,6,3,0.071,0.261
100,6,4,0.090,0.351
100,6,4,0.090,0.353
100,6,4,0.090,0.348
100,6,4,0.091,0.346
100,6,4,0.091,0.352
100,6,5,0.110,0.436
100,6,5,0.112,0.436
100,6,5,0.115,0.434
100,6,5,0.110,0.439
100,6,5,0.110,0.452
100,6,6,0.134,0.571
100,6,6,0.139,0.539
100,6,6,0.144,0.544
100,6,6,0.137,0.534
